,,2012-13 (REVISED),,,,CLASSROOM TEACHERS 2012?13,,,,,OTHER NON-SUPERVISORY,,TOTAL,2012-13 AVERAGE SALARY FOR CLASSROOM TEACHERS,,,ALL TEACHERS % CHANGE VERSUS,TOTAL CURRENT EXPENDITURES FOR PUBLIC,,,CURRENT,CAPITAL,INTEREST ON,,,
,,FALL ENROLLMENT,,,ELEMENTARY SCHOOL,,,SECONDARY SCHOOL,,TOTAL,INSTRUC-,PRINCIPALS &,INSTRUC-,INSTR.,ELEM.,SEC.,2011-12,ELEMENTARY AND SECONDARY DAY SCHOOLS,PER STUDENT ,PER STUDENT ,EXPENDITURES,OUTLAY,SCHOOL DEBT,,,
REGION AND STATE,ELEMENTARY,SECONDARY,TOTAL,MEN,WOMEN,TOTAL,MEN,WOMEN,TOTAL,TEACHERS,TIONAL,SUPERVISORS,TIONAL STAFF,STAFF,,, (CURRENT $),AMOUNT ('000s),IN ADA,IN ENR,OTHER PROGRAMS,('000s),('000s),,,
50 STATES AND D.C.,"30,600,879","18,725,638","49,326,517","241,307","1,549,743","1,791,050","499,562","817,919","1,317,481","3,108,531","259,631","194,559","3,562,721","58,315","55,747","57,243",1.74,"545,946,202","11,455","11,068","10,066,824","46,170,584","21,302,472",,,
NEW ENGLAND,"1,415,713","681,834","2,097,547","16,245","89,397","105,643","23,166","31,337","54,504","160,146","18,725","9,510","188,381","67,223","66,596","66,008",1.61,"32,353,141","17,807","15,785","276,197","1,531,984","693,276",,,
CONNECTICUT,"383,572 *","171,279","554,851 *","4,908 *","23,697 *","28,605 *","5,422 *","7,712 *","13,134 *","41,739 *","7,376 *","3,265","52,381 *","69,766","69,766","69,766",0.43,"9,028,768 *","15,499 *","16,272 *","79,090 *","869,954 *","191,797",,,
MAINE,"125,788 *","57,536","183,324 *","1,741 *","8,563 *","10,304 *","2,397 *","2,638 *","5,035 *","15,339","1,536","1,063","17,938 *","50,000","48,733","47,177",1.65,"1,909,049 *","11,218 *","10,414 *","5,764 *",0*,"140,929",,,
MASSACHUSETTS,"665,384","288,602","953,986","6,579","38,637","45,216","9,885","13,324","23,209","68,425","5,497","3,030","76,952","73,129","73,129","73,129",1.96,"14,510,878","16,099 *","15,211 *","72,823","536,242","253,648",,,
NEW HAMPSHIRE,"127,271 *","61,528","188,799 *","1,539 *","9,084 *","10,623 *","2,014 *","2,983 *","4,997 *","15,620 *","3,076 *",794,"19,490 *","55,599","55,599","55,599",2.62,"2,906,389 *","16,093 *","15,394 *","8,408 *","36,343 *","46,579",,,
RHODE ISLAND,"72,427 *","61,815","134,242 *",832 *,"5,392 *","6,224 *","1,380 *","2,439 *","3,818 *","10,042 *",0*,894,"10,936 *","68,821","63,474","63,474",2.07,"2,371,526 *","21,832 *","17,666 *","34,553 *","26,691 *","45,874",,,
VERMONT,"41,271 *","41,074","82,346 *",647 *,"4,024 *","4,671 *","2,068 *","2,242 *","4,310 *","8,981 *","1,239 *",464,"10,685 *","60,697","52,526","52,526",2.38,"1,626,531 *","26,103 *","19,752 *","75,559 *","62,754 *","14,450",,,
MID EAST,"3,780,477","2,969,094","6,749,570","33,032","212,688","245,720","99,787","182,597","282,384","528,103","47,155","28,257","603,515","71,943","69,349","69,952",2.62,"118,042,144","16,120","16,311","2,875,305","7,537,352","3,624,806",,,
DELAWARE,"71,042 *","60,023","131,065 *",479 *,"4,071 *","4,551 *","1,712 *","2,935 *","4,647 *","9,197 *",631 *,483,"10,311 *","63,256","59,679","59,679",1.5,"1,951,607 *","17,138 *","14,890 *","25,610 *","332,682 *","179,285",,,
DISTRICT OF COLUMBIA,"48,442 *","27,575","76,017 *",696 *,"3,312 *","4,008 *",730 *,"1,418 *","2,148 *","6,156 *",332 *,470,"6,958 *","70,906","70,906","70,906",3.18,"1,095,081 *","14,406 *","14,406 *","1,926 *","331,443 *",0,,,
