State,Year,2 or fewer years,3 to 5 years,6 to 10 years,11 to 20 years,Over 20 years
Alabama,2011-12,35030,39070,40150,43490,46810
Alaska,2011-12,47930,50790,NA,65020,NA
Arizona,2011-12,32850,35170,35650,41010,46640
Arkansas,2011-12,37390,36200,39540,43390,48000
California,2011-12,47310,48930,58570,66030,73980
Colorado,2011-12,33270,35140,40420,49250,NA
Connecticut,2011-12,NA,45860,NA,NA,NA
Delaware,2011-12,39020,NA,NA,NA,NA
District of Columbia,2011-12,NA,NA,NA,NA,NA
Florida,2011-12,NA,NA,NA,NA,NA
Georgia,2011-12,38060,37820,40760,46140,NA
Hawaii,2011-12,NA,NA,NA,NA,NA
Idaho,2011-12,32230,33770,32270,43270,47650
Illinois,2011-12,37380,41570,46120,52480,54690
Indiana,2011-12,34240,37420,39960,47630,NA
Iowa,2011-12,33900,36410,39280,45250,45100
Kansas,2011-12,35670,35560,37610,39190,42730
Kentucky,2011-12,36060,36670,NA,NA,NA
Louisiana,2011-12,39120,39560,42510,44130,47540
Maine,2011-12,NA,34180,38000,45230,52570
Maryland,2011-12,NA,NA,NA,NA,NA
Massachusetts,2011-12,46220,NA,NA,NA,NA
Michigan,2011-12,36620,38070,46250,58540,60850
Minnesota,2011-12,35830,39570,41950,48040,56320
Mississippi,2011-12,31890,33470,34080,39220,44490
Missouri,2011-12,36210,34100,35460,38370,42550
Montana,2011-12,28560,31410,35040,41240,48570
Nebraska,2011-12,33970,34240,34980,41330,44090
Nevada,2011-12,NA,NA,43260,51190,NA
New Hampshire,2011-12,NA,NA,44300,51260,56980
New Jersey,2011-12,50880,49590,54610,66830,78660
New Mexico,2011-12,34900,36750,42620,42480,46950
New York,2011-12,NA,NA,NA,NA,NA
North Carolina,2011-12,32770,31620,35090,39660,46430
North Dakota,2011-12,33570,35190,38220,43230,45570
Ohio,2011-12,34980,36990,43670,51930,59950
Oklahoma,2011-12,33260,33360,33750,38100,42860
Oregon,2011-12,NA,NA,NA,54330,57940
Pennsylvania,2011-12,41180,44250,47540,58910,72350
Rhode Island,2011-12,NA,NA,NA,NA,NA
South Carolina,2011-12,32760,33280,36080,NA,NA
South Dakota,2011-12,32890,30760,32100,34950,38820
Tennessee,2011-12,34490,37380,38120,41650,45900
Texas,2011-12,41200,43630,44900,47820,54600
Utah,2011-12,30000,34230,38680,45660,55230
Vermont,2011-12,NA,NA,NA,50670,55660
Virginia,2011-12,38080,38200,41220,46500,54290
Washington,2011-12,37360,39280,42010,52600,53220
West Virginia,2011-12,34240,34120,36830,40020,46740
Wisconsin,2011-12,34180,38830,42470,46880,54890
Wyoming,2011-12,43440,47530,48910,52180,55710
