Year,Qualification,Experience,Average Base Salary
1990-91,Bachelor,1 or less,37160
1990-91,Bachelor,2,37400
1990-91,Bachelor,3,38770
1990-91,Bachelor,4,39990
1990-91,Bachelor,5,41580
1990-91,Bachelor,6 to 9,43210
1990-91,Bachelor,10 to 14,47200
1990-91,Bachelor,15 to 19,53250
1990-91,Bachelor,20 to 24,58830
1990-91,Bachelor,25 to 29,60080
1990-91,Bachelor,30 to 34,60530
1990-91,Bachelor,35 or more,58940
1990-91,Master,1 or less,45670
1990-91,Master,2,43300
1990-91,Master,3,44850
1990-91,Master,4,45500
1990-91,Master,5,47020
1990-91,Master,6 to 9,49750
1990-91,Master,10 to 14,54870
1990-91,Master,15 to 19,60890
1990-91,Master,20 to 24,66430
1990-91,Master,25 to 29,68800
1990-91,Master,30 to 34,70240
1990-91,Master,35 or more,72100
1990-91,Education Specialist,1 or less,46000
1990-91,Education Specialist,2,NA
1990-91,Education Specialist,3,NA
1990-91,Education Specialist,4,50380
1990-91,Education Specialist,5,51600
1990-91,Education Specialist,6 to 9,52190
1990-91,Education Specialist,10 to 14,58110
1990-91,Education Specialist,15 to 19,65300
1990-91,Education Specialist,20 to 24,68280
1990-91,Education Specialist,25 to 29,73360
1990-91,Education Specialist,30 to 34,70670
1990-91,Education Specialist,35 or more,NA
1990-91,Doctorate,1 or less,NA
1990-91,Doctorate,2,NA
1990-91,Doctorate,3,NA
1990-91,Doctorate,4,NA
1990-91,Doctorate,5,NA
1990-91,Doctorate,6 to 9,NA
1990-91,Doctorate,10 to 14,65480
1990-91,Doctorate,15 to 19,69690
1990-91,Doctorate,20 to 24,75560
1990-91,Doctorate,25 to 29,74480
1990-91,Doctorate,30 to 34,NA
1990-91,Doctorate,35 or more,NA
1999-00,Bachelor,1 or less,38420
1999-00,Bachelor,2,39350
1999-00,Bachelor,3,40520
1999-00,Bachelor,4,42100
1999-00,Bachelor,5,42420
1999-00,Bachelor,6 to 9,44600
1999-00,Bachelor,10 to 14,49420
1999-00,Bachelor,15 to 19,55040
1999-00,Bachelor,20 to 24,56380
1999-00,Bachelor,25 to 29,61160
1999-00,Bachelor,30 to 34,64590
1999-00,Bachelor,35 or more,63810
1999-00,Master,1 or less,46470
1999-00,Master,2,45130
1999-00,Master,3,46950
