State,Year,Secondary Teachers [State],Total R&D Expenditures (In $ Thousands) ,Pupil/Teacher Ratio [State],Full-Time Equivalent (FTE) Teachers [State],Grade 9 Students Enrollment [State],Grade 10 Students Enrollment [State],Grade 11 Students Enrollment [State],Grade 12 Students Enrollment [State],Grade 9 Dropouts [State],Grade 10 Dropouts [State],Grade 11 Dropouts [State],Grade 12 Dropouts [State],Grades 9-12 Dropouts [State],No of SAT Test Takers,Critical Reading - Mean,Critical Reading - SD,Mathematics - Mean,Mathematics - SD,Writing - Mean,Writing - SD,No high school diploma (Numbers in Thousands),High school or equivalent (Numbers in Thousands),"Some college, less than 4-yr degree (Numbers in Thousands)",Bachelor's degree or higher (Numbers in Thousands)
ALABAMA,2013-14,14133.06,,15.82,47161.77,62069,56144,51527,48965,864,1128,1048,862,3902,3172,547,119,538,122,532,118,280,605,554,522
ALABAMA,2012-13,21449.7,,14.35,51877.22,61642,56229,50387,48945,865,900,829,698,3292,3558,544,117,534,121,530,118,256,615,496,550
ALABAMA,2011-12,20759.19,,15.6,47722.67,61412,55908,50785,49510,1256,1335,1221,842,4654,3879,528,121,531,121,527,116,238,588,553,504
ALABAMA,2010-11,21306.38,,15.31,49363.24,62615,57644,51962,49719,1216,1409,1256,1097,4978,3664,546,119,541,121,536,115,310,564,562,427
ALABAMA,2009-10,20417,761982,15.77,47492,63338,57794,50199,48164,1263,1461,1358,1267,5349,3365,556,112,550,116,544,108,291,628,527,402
ALABAMA,2008-09,20625,,15.6,47818,64681,56559,49587,46763,1500,1645,1497,1283,5925,3473,557,111,552,113,549,108,325,570,540,428
ALABAMA,2007-08,21334,655245,14.7,50420,65355,55502,49884,46200,1591,1864,1886,1501,6842,3591,565,109,557,112,554,106,299,551,526,458
ALABAMA,2006-07,21749,601881,13.2,56134,64943,55864,49690,44471,1705,1923,1946,1493,7067,3741,563,110,556,110,554,106,305,633,488,411
ALABAMA,2005-06,14409,589860,12.8,57757,65192,55492,48278,43452,1929,1963,1952,1568,7412,3879,565,110,561,111,565,105,338,615,482,381
ALABAMA,2004-05,14264,570982,14.2,51594,64569,53604,47538,42672,2044,2267,2170,1757,8238,,,,,,,,395,609,478,369
ALABAMA,2003-04,19918,557859,12.6,58070,62718,53695,47489,42005,,,,,,,,,,,,,350,593,440,414
ALABAMA,2002-03,19459,503470,15.7,47115,61646,52543,46449,45521,,,,,,,,,,,,,381,570,448,414
ALABAMA,2001-02,19298,445299,15.8,46785,61038,51525,46138,42909,,,,,,,,,,,,,,,,
ALABAMA,2000-01,20267,428122,15.4,48194,60463,51991,46392,42512,,,,,,,,,,,,,,,,
ALABAMA,1999-00,20708,416594,15.2,48624,61150,52304,46015,42576,,,,,,,,,,,,,,,,
ALABAMA,1998-99,21023,442088,15.7,47766,62724,52731,46218,43957,,,,,,,,,,,,,,,,
ALABAMA,1997-98,20185,403394,16.3,45967,63707,52780,47389,44272,,,,,,,,,,,,,,,,
ALABAMA,1996-97,19642,352703,,45035,64205,52848,48417,42510,,,,,,,,,,,,,,,,
ALABAMA,1995-96,19121,336644,,44056,65299,53780,46780,40981,,,,,,,,,,,,,,,,
ALABAMA,1994-95,18423,,,42791,63656,50929,44970,41730,,,,,,,,,,,,,,,,
ALABAMA,1993-94,19073,,,43003,62141,50543,46067,39900,,,,,,,,,,,,,,,,
ALABAMA,1992-93,18526,,,41961,60590,50629,44000,41167,,,,,,,,,,,,,,,,
ALABAMA,1991-92,17542,,,40480,60210,48417,45179,41725,,,,,,,,,,,,,,,,
ALABAMA,1990-91,14820,253124,,36266,57318,49923,45437,42031,,,,,,,,,,,,,,,,
ALABAMA,1989-90,17717,,,39928,58333,49868,46330,43482,,,,,,,,,,,,,,,,
ALABAMA,1988-89,17722,,,38845,58543,51114,47873,45571,,,,,,,,,,,,,,,,
ALABAMA,1987-88,17477,,,37716,59480,53174,49834,45742,,,,,,,,,,,,,,,,
ALABAMA,1986-87,15772,,,36971,62612,56014,50731,45396,,,,,,,,,,,,,,,,
ALASKA,2013-14,3643.25,,16.58,7898.26,9904,9284,9542,9500,404,551,1014,851,2820,3943,507,106,503,103,475,100,17,77,94,84
ALASKA,2012-13,3491.17,,17.12,7682.18,9724,9415,9585,9696,392,554,1032,926,2904,3867,508,105,505,103,482,99,21,71,90,76
ALASKA,2011-12,3778.52,,16.22,8087.87,9833,9546,9813,9918,455,607,940,1038,3040,4010,512,107,507,105,485,101,21,79,99,84
ALASKA,2010-11,2830.2,,16.17,8170.64,10023,9723,10725,9643,525,712,891,961,3089,3866,515,108,511,105,487,101,22,74,100,79
ALASKA,2009-10,3819.2,132554,16.29,8083.1,10112,10072,10874,9779,546,823,897,1081,3347,3772,518,106,515,103,491,100,24,75,96,72
ALASKA,2008-09,3816,,16.5,7927,10475,10200,10937,9787,804,815,827,903,3349,3589,520,106,516,104,492,98,21,80,90,69
ALASKA,2007-08,3716,159991,17.2,7613,10719,10639,10599,10092,764,817,665,568,2814,3782,520,108,520,105,493,100,16,78,94,68
ALASKA,2006-07,3776,163034,16.8,7903,11337,10839,10226,10039,892,874,748,531,3045,3778,519,107,517,103,491,97,18,74,92,70
ALASKA,2005-06,2304,153721,16.8,7912,11405,11035,10045,9578,837,882,785,705,3209,3945,517,106,517,102,493,97,19,75,86,71
ALASKA,2004-05,2388,146465,17.1,7756,11934,10664,9625,8766,759,849,754,815,3177,,,,,,,,20,72,83,66
ALASKA,2003-04,2329,140641,17.2,7808,11803,10623,9161,8651,,,,,,,,,,,,,23,66,82,58
ALASKA,2002-03,2825,128875,16.6,8080,11881,10219,9074,8810,,,,,,,,,,,,,22,66,83,54
ALASKA,2001-02,2842,115601,16.7,8026,11734,10147,9240,8340,,,,,,,,,,,,,,,,
ALASKA,2000-01,2765,107417,16.9,7880,11582,10110,8887,8335,,,,,,,,,,,,,,,,
ALASKA,1999-00,2567,93687,17.1,7838,11568,10217,8624,8381,,,,,,,,,,,,,,,,
ALASKA,1998-99,2932,75854,16.7,8118,11442,9749,8800,8403,,,,,,,,,,,,,,,,
ALASKA,1997-98,2769,70943,17.3,7625,10671,9561,8471,7771,,,,,,,,,,,,,,,,
ALASKA,1996-97,2612,71381,,7418,10621,9426,8140,7370,,,,,,,,,,,,,,,,
ALASKA,1995-96,2599,72216,,7379,10263,9045,7765,7111,,,,,,,,,,,,,,,,
ALASKA,1994-95,2539,,,7205,9947,8692,7642,7057,,,,,,,,,,,,,,,,
ALASKA,1993-94,2491,,,7193,9608,8514,7250,6975,,,,,,,,,,,,,,,,
ALASKA,1992-93,2136,,,7282,9187,7889,7057,6714,,,,,,,,,,,,,,,,
ALASKA,1991-92,2019,,,7118,8449,7670,6816,6621,,,,,,,,,,,,,,,,
ALASKA,1990-91,2038,65571,,6710,8114,7306,6700,6486,,,,,,,,,,,,,,,,
ALASKA,1989-90,2021,,,6492,7545,7109,6526,6402,,,,,,,,,,,,,,,,
ALASKA,1988-89,2263,,,6272,7468,7085,6559,6851,,,,,,,,,,,,,,,,
ALASKA,1987-88,2990,,,6113,7549,7181,7094,7160,,,,,,,,,,,,,,,,
ALASKA,1986-87,3924,,,6448,7872,7894,7423,6753,,,,,,,,,,,,,,,,
ARIZONA,2013-14,14468.32,,22.8,48358.73,83995,81410,77448,84291,4207,4594,5269,10795,24865,22624,522,103,525,104,500,101,380,587,874,770
ARIZONA,2012-13,14618.52,,22.29,48866.42,82291,80074,77518,81751,6684,5082,5976,8431,26173,22283,521,103,528,105,502,101,393,653,812,815
ARIZONA,2011-12,14741.82,,21.27,50800.15,82089,80788,76751,81179,3538,4141,5108,8247,21034,23052,517,102,525,104,499,99,344,587,799,809
ARIZONA,2010-11,14842.77,,21.42,50030.62,82304,79842,76275,81326,3951,4496,5434,9307,23188,22845,517,101,523,103,499,99,288,601,826,762
ARIZONA,2009-10,14938.9,873063,20.75,51947.23,82461,80281,75372,79283,4020,4715,5507,8743,22573,20690,519,101,525,101,500,98,307,599,807,782
ARIZONA,2008-09,15619,,19.9,54696,83831,80200,75282,76735,3783,4544,4860,6793,19980,21007,516,99,521,102,497,97,388,583,859,709
ARIZONA,2007-08,15225,782671,20.1,54032,84030,80655,75416,76275,4726,4913,4926,5968,20533,20040,516,100,522,102,500,98,381,584,807,691
ARIZONA,2006-07,14832,765434,20.3,52625,84086,79927,73175,71388,6144,5532,5320,6246,23242,19201,519,101,525,100,502,97,340,611,786,670
ARIZONA,2005-06,14705,720184,21.3,51376,99040,92746,83935,79180,7243,6583,5852,6636,26314,18615,521,100,528,100,507,97,356,601,739,567
ARIZONA,2004-05,14412,650961,21.3,48935,91860,82536,75259,71035,7892,6448,5773,5519,25632,,,,,,,,316,575,686,614
ARIZONA,2003-04,13459,617978,21.3,47507,87576,79320,71561,68815,,,,,,,,,,,,,316,551,655,598
ARIZONA,2002-03,13292,531106,19.9,47101,79777,71165,65222,60820,,,,,,,,,,,,,304,560,665,551
ARIZONA,2001-02,13033,500548,20,46015,72859,67117,57782,52162,,,,,,,,,,,,,,,,
ARIZONA,2000-01,12522,465777,19.8,44438,70727,63765,52940,49501,,,,,,,,,,,,,,,,
ARIZONA,1999-00,12403,439286,19.4,43892,68646,60489,51771,47907,,,,,,,,,,,,,,,,
ARIZONA,1998-99,11623,405999,20,42352,67476,60333,51245,45813,,,,,,,,,,,,,,,,
ARIZONA,1997-98,11403,376818,19.8,41129,66357,58472,48676,44259,,,,,,,,,,,,,,,,
ARIZONA,1996-97,10940,375881,,40521,64566,56109,47573,42041,,,,,,,,,,,,,,,,
ARIZONA,1995-96,10499,380216,,38017,59346,52654,43547,39197,,,,,,,,,,,,,,,,
ARIZONA,1994-95,10537,,,38132,59150,51564,43363,40119,,,,,,,,,,,,,,,,
ARIZONA,1993-94,10305,,,37493,54878,48281,41964,37614,,,,,,,,,,,,,,,,
ARIZONA,1992-93,9825,,,36076,51426,46790,39584,37410,,,,,,,,,,,,,,,,
ARIZONA,1991-92,8696,,,33978,49038,43323,37828,36122,,,,,,,,,,,,,,,,
ARIZONA,1990-91,8517,261384,,32987,46369,42359,37043,34645,,,,,,,,,,,,,,,,
ARIZONA,1989-90,8676,,,32134,44106,40525,35670,35618,,,,,,,,,,,,,,,,
ARIZONA,1988-89,8744,,,31617,43002,39886,37050,36962,,,,,,,,,,,,,,,,
ARIZONA,1987-88,8385,,,30707,43183,40840,38951,36513,,,,,,,,,,,,,,,,
ARIZONA,1986-87,8021,,,29104,44263,43003,39685,35777,,,,,,,,,,,,,,,,
ARKANSAS,2013-14,14216.47,,14.03,34933.04,37934,36447,34158,31646,720,1130,1427,1613,4892,1222,573,105,571,101,554,103,169,417,343,317
ARKANSAS,2012-13,13928.81,,14.24,34131.42,37978,36343,33373,30734,872,1330,1739,1699,5641,1172,572,109,570,104,555,106,179,391,355,257
ARKANSAS,2011-12,13974.33,,14.22,33982.96,38078,35729,32711,30441,1076,1561,1922,1933,6492,1320,565,113,566,103,549,111,188,345,368,267
ARKANSAS,2010-11,14076.52,,14.07,34272.8,37807,35280,32739,30330,1111,1486,1889,1970,6456,1345,568,112,570,101,554,107,151,429,334,245
ARKANSAS,2009-10,14577,239593,12.9,37240,37556,35523,32567,30567,691,1115,1334,1146,4285,1340,566,112,566,104,552,105,189,431,326,217
ARKANSAS,2008-09,14525,,12.9,37162,37627,35853,33460,30256,925,1427,1691,1802,5845,1460,572,105,572,99,556,99,176,458,287,233
ARKANSAS,2007-08,13520,240406,14.1,33882,37819,36781,33613,30708,1058,1508,1898,1772,6236,1467,575,109,567,102,559,102,220,422,286,225
ARKANSAS,2006-07,15983,237233,13.6,35089,38937,37233,33902,29617,912,1450,1942,1787,6091,1389,578,109,566,102,565,102,216,394,293,213
ARKANSAS,2005-06,16778,209518,14.4,32997,38952,37331,32603,29351,1296,1605,2137,1888,6926,1489,574,104,568,103,567,102,197,402,300,205
ARKANSAS,2004-05,15387,182958,14.8,31234,38279,35794,31928,28640,1226,1707,2135,1919,6987,,,,,,,,242,410,268,194
ARKANSAS,2003-04,15499,183183,14.7,30876,37301,35343,31228,28840,,,,,,,,,,,,,219,414,280,205
ARKANSAS,2002-03,15182,140283,14.9,30330,36395,34386,31658,29277,,,,,,,,,,,,,220,398,312,180
ARKANSAS,2001-02,15678,140741,13.6,33079,35894,34418,32257,28849,,,,,,,,,,,,,,,,
ARKANSAS,2000-01,13665,130894,14.1,31947,36078,34958,31557,28918,,,,,,,,,,,,,,,,
ARKANSAS,1999-00,13054,111999,14.4,31362,36657,35081,31839,29316,,,,,,,,,,,,,,,,
ARKANSAS,1998-99,12668,116778,16.2,27953,36378,35264,31742,29123,,,,,,,,,,,,,,,,
