State,Year,Secondary Teachers [State],Pupil/Teacher Ratio [State],Full-Time Equivalent (FTE) Teachers [State],Grade 9 Students Enrollment [State],Grade 10 Students Enrollment [State],Grade 11 Students Enrollment [State],Grade 12 Students Enrollment [State],Grade 9 Dropouts [State],Grade 10 Dropouts [State],Grade 11 Dropouts [State],Grade 12 Dropouts [State],Grades 9-12 Dropouts [State]
ALABAMA,2013-14,14133.06,15.82,47161.77,62069,56144,51527,48965,864,1128,1048,862,3902
ALABAMA,2012-13,21449.7,14.35,51877.22,61642,56229,50387,48945,865,900,829,698,3292
ALABAMA,2011-12,20759.19,15.6,47722.67,61412,55908,50785,49510,1256,1335,1221,842,4654
ALABAMA,2010-11,21306.38,15.31,49363.24,62615,57644,51962,49719,1216,1409,1256,1097,4978
ALABAMA,2009-10,20417,15.77,47492,63338,57794,50199,48164,1263,1461,1358,1267,5349
ALABAMA,2008-09,20625,15.6,47818,64681,56559,49587,46763,1500,1645,1497,1283,5925
ALABAMA,2007-08,21334,14.7,50420,65355,55502,49884,46200,1591,1864,1886,1501,6842
ALABAMA,2006-07,21749,13.2,56134,64943,55864,49690,44471,1705,1923,1946,1493,7067
ALABAMA,2005-06,14409,12.8,57757,65192,55492,48278,43452,1929,1963,1952,1568,7412
ALABAMA,2004-05,14264,14.2,51594,64569,53604,47538,42672,2044,2267,2170,1757,8238
ALABAMA,2003-04,19918,12.6,58070,62718,53695,47489,42005,,,,,
ALABAMA,2002-03,19459,15.7,47115,61646,52543,46449,45521,,,,,
ALABAMA,2001-02,19298,15.8,46785,61038,51525,46138,42909,,,,,
ALABAMA,2000-01,20267,15.4,48194,60463,51991,46392,42512,,,,,
ALABAMA,1999-00,20708,15.2,48624,61150,52304,46015,42576,,,,,
ALABAMA,1998-99,21023,15.7,47766,62724,52731,46218,43957,,,,,
ALABAMA,1997-98,20185,16.3,45967,63707,52780,47389,44272,,,,,
ALABAMA,1996-97,19642,,45035,64205,52848,48417,42510,,,,,
ALABAMA,1995-96,19121,,44056,65299,53780,46780,40981,,,,,
ALABAMA,1994-95,18423,,42791,63656,50929,44970,41730,,,,,
ALABAMA,1993-94,19073,,43003,62141,50543,46067,39900,,,,,
ALABAMA,1992-93,18526,,41961,60590,50629,44000,41167,,,,,
ALABAMA,1991-92,17542,,40480,60210,48417,45179,41725,,,,,
ALABAMA,1990-91,14820,,36266,57318,49923,45437,42031,,,,,
ALABAMA,1989-90,17717,,39928,58333,49868,46330,43482,,,,,
ALABAMA,1988-89,17722,,38845,58543,51114,47873,45571,,,,,
ALABAMA,1987-88,17477,,37716,59480,53174,49834,45742,,,,,
ALABAMA,1986-87,15772,,36971,62612,56014,50731,45396,,,,,
ALASKA,2013-14,3643.25,16.58,7898.26,9904,9284,9542,9500,404,551,1014,851,2820
ALASKA,2012-13,3491.17,17.12,7682.18,9724,9415,9585,9696,392,554,1032,926,2904
ALASKA,2011-12,3778.52,16.22,8087.87,9833,9546,9813,9918,455,607,940,1038,3040
ALASKA,2010-11,2830.2,16.17,8170.64,10023,9723,10725,9643,525,712,891,961,3089
ALASKA,2009-10,3819.2,16.29,8083.1,10112,10072,10874,9779,546,823,897,1081,3347
ALASKA,2008-09,3816,16.5,7927,10475,10200,10937,9787,804,815,827,903,3349
ALASKA,2007-08,3716,17.2,7613,10719,10639,10599,10092,764,817,665,568,2814
ALASKA,2006-07,3776,16.8,7903,11337,10839,10226,10039,892,874,748,531,3045
ALASKA,2005-06,2304,16.8,7912,11405,11035,10045,9578,837,882,785,705,3209
ALASKA,2004-05,2388,17.1,7756,11934,10664,9625,8766,759,849,754,815,3177
ALASKA,2003-04,2329,17.2,7808,11803,10623,9161,8651,,,,,
ALASKA,2002-03,2825,16.6,8080,11881,10219,9074,8810,,,,,
ALASKA,2001-02,2842,16.7,8026,11734,10147,9240,8340,,,,,
ALASKA,2000-01,2765,16.9,7880,11582,10110,8887,8335,,,,,
ALASKA,1999-00,2567,17.1,7838,11568,10217,8624,8381,,,,,
ALASKA,1998-99,2932,16.7,8118,11442,9749,8800,8403,,,,,
ALASKA,1997-98,2769,17.3,7625,10671,9561,8471,7771,,,,,
ALASKA,1996-97,2612,,7418,10621,9426,8140,7370,,,,,
ALASKA,1995-96,2599,,7379,10263,9045,7765,7111,,,,,
ALASKA,1994-95,2539,,7205,9947,8692,7642,7057,,,,,
ALASKA,1993-94,2491,,7193,9608,8514,7250,6975,,,,,
ALASKA,1992-93,2136,,7282,9187,7889,7057,6714,,,,,
ALASKA,1991-92,2019,,7118,8449,7670,6816,6621,,,,,
ALASKA,1990-91,2038,,6710,8114,7306,6700,6486,,,,,
ALASKA,1989-90,2021,,6492,7545,7109,6526,6402,,,,,
