State,Year,Secondary Teachers [State],Pupil/Teacher Ratio [State],Full-Time Equivalent (FTE) Teachers [State],Grade 9 Dropouts [State],Grade 10 Dropouts [State],Grade 11 Dropouts [State],Grade 12 Dropouts [State],Grades 9-12 Dropouts [State]
ALABAMA,2013-14,14133.06,15.82,47161.77,864,1128,1048,862,3902
ALABAMA,2012-13,21449.7,14.35,51877.22,865,900,829,698,3292
ALABAMA,2011-12,20759.19,15.6,47722.67,1256,1335,1221,842,4654
ALABAMA,2010-11,21306.38,15.31,49363.24,1216,1409,1256,1097,4978
ALABAMA,2009-10,20417,15.77,47492,1263,1461,1358,1267,5349
ALABAMA,2008-09,20625,15.6,47818,1500,1645,1497,1283,5925
ALABAMA,2007-08,21334,14.7,50420,1591,1864,1886,1501,6842
ALABAMA,2006-07,21749,13.2,56134,1705,1923,1946,1493,7067
ALABAMA,2005-06,14409,12.8,57757,1929,1963,1952,1568,7412
ALABAMA,2004-05,14264,14.2,51594,2044,2267,2170,1757,8238
ALABAMA,2003-04,19918,12.6,58070,,,,,
ALABAMA,2002-03,19459,15.7,47115,,,,,
ALABAMA,2001-02,19298,15.8,46785,,,,,
ALABAMA,2000-01,20267,15.4,48194,,,,,
ALABAMA,1999-00,20708,15.2,48624,,,,,
ALABAMA,1998-99,21023,15.7,47766,,,,,
ALABAMA,1997-98,20185,16.3,45967,,,,,
ALABAMA,1996-97,19642,,45035,,,,,
ALABAMA,1995-96,19121,,44056,,,,,
ALABAMA,1994-95,18423,,42791,,,,,
ALABAMA,1993-94,19073,,43003,,,,,
ALABAMA,1992-93,18526,,41961,,,,,
ALABAMA,1991-92,17542,,40480,,,,,
ALABAMA,1990-91,14820,,36266,,,,,
ALABAMA,1989-90,17717,,39928,,,,,
ALABAMA,1988-89,17722,,38845,,,,,
ALABAMA,1987-88,17477,,37716,,,,,
ALABAMA,1986-87,15772,,36971,,,,,
ALASKA,2013-14,3643.25,16.58,7898.26,404,551,1014,851,2820
ALASKA,2012-13,3491.17,17.12,7682.18,392,554,1032,926,2904
ALASKA,2011-12,3778.52,16.22,8087.87,455,607,940,1038,3040
ALASKA,2010-11,2830.2,16.17,8170.64,525,712,891,961,3089
ALASKA,2009-10,3819.2,16.29,8083.1,546,823,897,1081,3347
ALASKA,2008-09,3816,16.5,7927,804,815,827,903,3349
ALASKA,2007-08,3716,17.2,7613,764,817,665,568,2814
ALASKA,2006-07,3776,16.8,7903,892,874,748,531,3045
ALASKA,2005-06,2304,16.8,7912,837,882,785,705,3209
ALASKA,2004-05,2388,17.1,7756,759,849,754,815,3177
ALASKA,2003-04,2329,17.2,7808,,,,,
ALASKA,2002-03,2825,16.6,8080,,,,,
ALASKA,2001-02,2842,16.7,8026,,,,,
ALASKA,2000-01,2765,16.9,7880,,,,,
ALASKA,1999-00,2567,17.1,7838,,,,,
ALASKA,1998-99,2932,16.7,8118,,,,,
ALASKA,1997-98,2769,17.3,7625,,,,,
ALASKA,1996-97,2612,,7418,,,,,
ALASKA,1995-96,2599,,7379,,,,,
ALASKA,1994-95,2539,,7205,,,,,
ALASKA,1993-94,2491,,7193,,,,,
ALASKA,1992-93,2136,,7282,,,,,
ALASKA,1991-92,2019,,7118,,,,,
ALASKA,1990-91,2038,,6710,,,,,
ALASKA,1989-90,2021,,6492,,,,,
ALASKA,1988-89,2263,,6272,,,,,
ALASKA,1987-88,2990,,6113,,,,,
ALASKA,1986-87,3924,,6448,,,,,
ARIZONA,2013-14,14468.32,22.8,48358.73,4207,4594,5269,10795,24865
ARIZONA,2012-13,14618.52,22.29,48866.42,6684,5082,5976,8431,26173
ARIZONA,2011-12,14741.82,21.27,50800.15,3538,4141,5108,8247,21034
ARIZONA,2010-11,14842.77,21.42,50030.62,3951,4496,5434,9307,23188
ARIZONA,2009-10,14938.9,20.75,51947.23,4020,4715,5507,8743,22573
ARIZONA,2008-09,15619,19.9,54696,3783,4544,4860,6793,19980
ARIZONA,2007-08,15225,20.1,54032,4726,4913,4926,5968,20533
ARIZONA,2006-07,14832,20.3,52625,6144,5532,5320,6246,23242
ARIZONA,2005-06,14705,21.3,51376,7243,6583,5852,6636,26314
ARIZONA,2004-05,14412,21.3,48935,7892,6448,5773,5519,25632
ARIZONA,2003-04,13459,21.3,47507,,,,,
ARIZONA,2002-03,13292,19.9,47101,,,,,
ARIZONA,2001-02,13033,20,46015,,,,,
ARIZONA,2000-01,12522,19.8,44438,,,,,
ARIZONA,1999-00,12403,19.4,43892,,,,,
ARIZONA,1998-99,11623,20,42352,,,,,
ARIZONA,1997-98,11403,19.8,41129,,,,,
ARIZONA,1996-97,10940,,40521,,,,,
ARIZONA,1995-96,10499,,38017,,,,,
ARIZONA,1994-95,10537,,38132,,,,,
ARIZONA,1993-94,10305,,37493,,,,,
ARIZONA,1992-93,9825,,36076,,,,,
ARIZONA,1991-92,8696,,33978,,,,,
ARIZONA,1990-91,8517,,32987,,,,,
ARIZONA,1989-90,8676,,32134,,,,,
ARIZONA,1988-89,8744,,31617,,,,,
ARIZONA,1987-88,8385,,30707,,,,,
ARIZONA,1986-87,8021,,29104,,,,,
ARKANSAS,2013-14,14216.47,14.03,34933.04,720,1130,1427,1613,4892
ARKANSAS,2012-13,13928.81,14.24,34131.42,872,1330,1739,1699,5641
ARKANSAS,2011-12,13974.33,14.22,33982.96,1076,1561,1922,1933,6492
ARKANSAS,2010-11,14076.52,14.07,34272.8,1111,1486,1889,1970,6456
ARKANSAS,2009-10,14577,12.9,37240,691,1115,1334,1146,4285
