State,Year,Public Grads,Private Grads,Total_grads
Alabama,2003,36464," 5,054 "," 41,518 "
Alaska,2003,7236, 305 ," 7,541 "
Arizona,2003,45508," 2,015 "," 47,523 "
Arkansas,2003,27181," 4,001 "," 31,182 "
California,2003,343480," 32,433 "," 375,913 "
Colorado,2003,44777," 2,859 "," 47,636 "
Connecticut,2003,34573," 5,440 "," 40,013 "
Delaware,2003,6951," 1,668 "," 8,619 "
District of Columbia,2003,3031," 1,577 "," 4,608 "
Florida,2003,131418," 16,584 "," 148,002 "
Georgia,2003,68550," 7,067 "," 75,617 "
Hawaii,2003,10324," 1,598 "," 11,922 "
Idaho,2003,15547, 547 ," 16,094 "
Illinois,2003,124763," 14,485 "," 139,248 "
Indiana,2003,56008," 5,320 "," 61,328 "
Iowa,2003,34339," 3,344 "," 37,683 "
Kansas,2003,30155," 2,068 "," 32,223 "
Kentucky,2003,37787," 3,659 "," 41,446 "
Louisiana,2003,37019," 8,179 "," 45,198 "
Maine,2003,13278," 2,386 "," 15,664 "
Maryland,2003,52870," 8,315 "," 61,185 "
Massachusetts,2003,58326," 10,697 "," 69,023 "
Michigan,2003,98823," 7,832 "," 106,655 "
Minnesota,2003,59096," 4,324 "," 63,420 "
Mississippi,2003,23735," 3,175 "," 26,910 "
Missouri,2003,57983," 8,369 "," 66,352 "
Montana,2003,10500," 9,376 "," 19,876 "
Nebraska,2003,20309," 2,316 "," 22,625 "
Nevada,2003,15201, 639 ," 15,840 "
New Hampshire,2003,13309," 2,090 "," 15,399 "
New Jersey,2003,83826," 12,429 "," 96,255 "
New Mexico,2003,17892," 1,444 "," 19,336 "
New York,2003,142526," 26,487 "," 169,013 "
North Carolina,2003,72126," 5,128 "," 77,254 "
North Dakota,2003,7888, 439 ," 8,327 "
Ohio,2003,119029," 13,330 "," 132,359 "
Oklahoma,2003,36799," 1,809 "," 38,608 "
Oregon,2003,32958," 2,879 "," 35,837 "
Pennsylvania,2003,123474," 17,795 "," 141,269 "
Rhode Island,2003,9258," 1,693 "," 10,951 "
South Carolina,2003,33235," 2,932 "," 36,167 "
South Dakota,2003,9001, 532 ," 9,533 "
Tennessee,2003,46096," 5,635 "," 51,731 "
Texas,2003,244165," 11,711 "," 255,876 "
Utah,2003,30252," 1,088 "," 31,340 "
Vermont,2003,7100," 1,142 "," 8,242 "
Virginia,2003,72042, NA ," 72,042 "
Washington,2003,61274," 4,609 "," 65,883 "
West Virginia,2003,17339, 806 ," 18,145 "
Wisconsin,2003,62784," 5,625 "," 68,409 "
Wyoming,2003,5833, NA ," 5,833 "
Alabama,2004,37453," 5,191 "," 42,644 "
Alaska,2004,6909, 291 ," 7,200 "
Arizona,2004,59498," 2,634 "," 62,132 "
Arkansas,2004,26621," 3,919 "," 30,540 "
California,2004,355217," 33,541 "," 388,758 "
Colorado,2004,44532," 2,843 "," 47,375 "
Connecticut,2004,35515," 5,589 "," 41,104 "
Delaware,2004,6934," 1,663 "," 8,597 "
District of Columbia,2004,2781," 1,447 "," 4,228 "
Florida,2004,133318," 16,824 "," 150,142 "
Georgia,2004,70834," 7,302 "," 78,136 "
Hawaii,2004,10813," 1,674 "," 12,487 "
Idaho,2004,15768, 555 ," 16,323 "
Illinois,2004,123615," 14,352 "," 137,967 "
Indiana,2004,55444," 5,267 "," 60,711 "
Iowa,2004,33547," 3,267 "," 36,814 "
Kansas,2004,30355," 2,082 "," 32,437 "
Kentucky,2004,38399," 3,718 "," 42,117 "
Louisiana,2004,36009," 7,956 "," 43,965 "
Maine,2004,13077," 2,350 "," 15,427 "
Maryland,2004,54170," 8,519 "," 62,689 "
Massachusetts,2004,59665," 10,942 "," 70,607 "
Michigan,2004,101582," 8,051 "," 109,633 "
Minnesota,2004,58391," 4,272 "," 62,663 "
Mississippi,2004,23523," 3,146 "," 26,669 "
Missouri,2004,57841," 8,348 "," 66,189 "
Montana,2004,10335," 9,228 "," 19,563 "
Nebraska,2004,19940," 2,274 "," 22,214 "
Nevada,2004,15740, 662 ," 16,402 "
New Hampshire,2004,13775," 2,163 "," 15,938 "
New Jersey,2004,86502," 12,826 "," 99,328 "
New Mexico,2004,17353," 1,400 "," 18,753 "
New York,2004,153203," 28,471 "," 181,674 "
North Carolina,2004,75010," 5,333 "," 80,343 "
North Dakota,2004,7555, 421 ," 7,976 "
