state_name,year,secondary_teachers,total_rd_expenditures,pupil_teacher_ratio,full_time_equivalent,grade_9_students_enrollment,grade_10_students_enrollment,grade_11_students_enrollment,grade_12_students_enrollment,grade_9_dropouts,grade_10_dropouts,grade_11_dropouts,grade_12_dropouts,grades_9_12_dropouts,no_of_sat_test_takers,critical_reading_mean,critical_reading_sd,mathematics_mean,mathematics_sd,writing_mean,writing_sd,no_high_school_diploma,high_school_or_equivalent,some_college_less_than_4_yr_degree,bachelors_degree_or_higher,american_indian_alaska_native_male_grade_9,american_indian_alaska_native_female_grade_9,asian_or_asian_pacific_islander_male_grade_9,asian_or_asian_pacific_islander_female_grade_9,hispanic_male_grade_9,hispanic_female_grade_9,black_male_grade_9,black_female_grade_9,white_male_grade_9,white_female_grade_9,american_indian_alaska_native_male_grade_10,american_indian_alaska_native_female_grade_10,asian_or_asian_pacific_islander_male_grade_10,asian_or_asian_pacific_islander_female_grade_10,hispanic_male_grade_10,hispanic_female_grade_10,black_male_grade_10,black_female_grade_10,white_male_grade_10,white_female_grade_10,american_indian_alaska_native_male_grade_11,american_indian_alaska_native_female_grade_11,asian_or_asian_pacific_islander_male_grade_11,asian_or_asian_pacific_islander_female_grade_11,hispanic_male_grade_11,hispanic_female_grade_11,black_male_grade_11,black_female_grade_11,white_male_grade_11,white_female_grade_11,american_indian_alaska_native_male_grade_12,american_indian_alaska_native_female_grade_12,asian_or_asian_pacific_islander_male_grade_12,asian_or_asian_pacific_islander_female_grade_12,hispanic_male_grade_12,hispanic_female_grade_12,black_male_grade_12,black_female_grade_12,white_male_grade_12,white_female_grade_12
ALABAMA,2013-14,14133.06,NA,15.82,47161.77,62069,56144,51527,48965,864,1128,1048,862,3902,3172,547,119,538,122,532,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALABAMA,2012-13,21449.7,NA,14.35,51877.22,61642,56229,50387,48945,865,900,829,698,3292,3558,544,117,534,121,530,118,280,605,554,522,280,295,401,362,1281,1152,11627,10708,18304,16776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALABAMA,2011-12,20759.19,NA,15.6,47722.67,61412,55908,50785,49510,1256,1335,1221,842,4654,3879,528,121,531,121,527,116,256,615,496,550,269,250,387,373,1165,1023,11432,10461,18120,16906,239,281,372,372,1025,886,9904,9774,16863,15734,264,251,315,348,832,753,8403,8820,15516,14862,249,219,324,313,712,649,8049,9126,14905,14515
ALABAMA,2010-11,21306.38,NA,15.31,49363.24,62615,57644,51962,49719,1216,1409,1256,1097,4978,3664,546,119,541,121,536,115,238,588,553,504,252,275,395,347,1129,935,11768,10844,18437,16611,285,271,323,363,944,858,10256,10105,16931,15902,254,221,336,324,750,654,8443,9316,15369,14979,253,241,274,277,669,605,8255,8977,14666,14325
ALABAMA,2009-10,20417,761982,15.77,47492,63338,57794,50199,48164,1263,1461,1358,1267,5349,3365,556,112,550,116,544,108,310,564,562,427,304,285,351,373,1115,965,12364,11418,18911,17118,284,237,355,349,932,823,10588,10803,17048,16292,261,243,295,302,716,645,8276,9051,15308,15000,221,244,323,337,595,566,8057,9074,14412,14272
ALABAMA,2008-09,20625,NA,15.6,47818,64681,56559,49587,46763,1500,1645,1497,1283,5925,3473,557,111,552,113,549,108,291,628,527,402,301,258,348,352,1020,892,12932,12059,19044,17375,289,269,335,311,845,734,10180,10430,16911,16140,224,249,329,353,611,596,8222,9065,15058,14798,235,248,264,274,484,468,7618,8693,14222,14205
ALABAMA,2007-08,21334,655245,14.7,50420,65355,55502,49884,46200,1591,1864,1886,1501,6842,3591,565,109,557,112,554,106,325,570,540,428,304,288,354,325,989,824,13236,12122,19303,17750,253,261,320,366,715,673,9997,10297,16736,16032,240,247,285,294,524,503,8250,9278,15283,15083,218,244,268,251,390,437,7575,8502,14295,14294
ALABAMA,2006-07,21749,601881,13.2,56134,64943,55864,49690,44471,1705,1923,1946,1493,7067,3741,563,110,556,110,554,106,299,551,526,458,285,304,351,340,862,766,12860,11866,19456,17752,257,257,293,285,649,568,9980,10431,16898,16188,223,258,279,290,449,449,8149,9053,15227,15248,200,174,233,230,366,356,7068,8280,13809,13712
ALABAMA,2005-06,14409,589860,12.8,57757,65192,55492,48278,43452,1929,1963,1952,1568,7412,3879,565,110,561,111,565,105,305,633,488,411,287,268,305,290,779,637,12889,11940,19715,17987,235,258,299,275,526,520,10054,10034,16912,16302,202,188,258,253,383,381,8040,8942,14977,14606,186,212,217,227,317,335,6884,7854,13566,13616
ALABAMA,2004-05,14264,570982,14.2,51594,64569,53604,47538,42672,2044,2267,2170,1757,8238,NA,NA,NA,NA,NA,NA,NA,338,615,482,381,271,285,314,249,652,577,12725,11499,20005,17992,222,204,264,246,478,437,9708,9803,16654,15588,202,228,226,235,340,341,8029,8638,14709,14590,217,209,239,220,277,231,6768,7585,13631,13295
