State,year,population_state_total,population_ages_5,number_of_operating_public_schools_district,public_school_enrollment,average_daily_attendance_in_public,number_of_public_high_school_graduates,total_instructional_staff_in_public_schools,number_of_teachers_in_public_schools,percentage_of_public_school_teachers_who_are_men,average_salaries_of_public_school_teachers,average_salaries_of_instructional_staff_in_public_schools,percentage_change_in_average_instructional_staff_salaries,per_capita_personal_income,percentage_change_in_per_capita_personal_income,personal_income_per_student_in_fall_enrollment,personal_income_per_student_in_average_daily_attendance,public_school_revenue_per_student_in_fall_enrollment,public_school_revenue_per_student_in_average_daily_attendance,per_capita_general_expenditures_of_state_governments_for_all_functions,per_capita_expenditures_of_state_local_governments_for_public_welfare,per_capita_expenditures_of_state_local_governments_for_health_hospitals,per_capita_expenditures_of_state_local_governments_for_police_fire_protection,per_capita_expenditures_of_state_local_governments_for_all_education,current_expenditures_for_public_schools_per_student_in_fall_enrollment
ALABAMA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42384,NA,26307,NA,NA,NA,NA,8276,NA,NA,NA,NA,6701
ALABAMA,2002,4479,808,NA,731085,703819,36767,53352,46514,20.3,38186,39939,0.1,25595,27630,NA,163364,NA,8276,8929,3894,1022,1008,236,7028
ALABAMA,2003,1,811,132,738450,711030,37996,57471,49692,20.6,40347,42384,-0.3,26307,3.6,162771,168734,8598,8929,3608,929,911,221,1858,7706
ALABAMA,2004,4525,798,729339,702915,36627,55142,45920,21.3,38325,38291,0.1,NA,27630,NA,171617,178068,7580,3608,NA,1013,963,231,1930,NA
ALABAMA,2005,NA,NA,731085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163364,NA,8276,NA,NA,NA,NA,NA,NA,NA
ALABAMA,2008,4677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.7,NA,NA,NA,NA,4955,1154,1041,247,2243,NA
ALABAMA,2009,4709,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,32661,4,210227,218326,NA,NA,5024,1261,1123,356,2208,NA
ALABAMA,2010,4780,628,132,741043,709225,45220,54001,46798,21.5,47803,49710,0.7,33710,3,217664,229749,9817,9817,5058,1237,1129,340,4672,8820
ALABAMA,2011,4803,808,132,736339,704681,45850,52573,45519,21.8,48003,50039,-0.3,34929,2.7,226420,236577,9557,9986,4983,1304,1136,329,2150,8597
ALABAMA,2012,4818,819,134,735605,676450,47133,53310,46300,22,47949,49875,1.7,35942,NA,235149,245714,9715,10565,NA,NA,NA,NA,NA,8811
ALABAMA,2013,NA,NA,135,736789,702571,44226,53560,46433,22.1,48720,50709,NA,NA,NA,NA,NA,9593,10060,NA,NA,NA,NA,NA,8821
ALASKA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60376,NA,33015,NA,NA,NA,NA,11327,NA,NA,NA,NA,9808
ALASKA,2002,641,143,NA,132970,115225,7540,8944,7917,31.5,52424,57673,4.6,32582,34085,NA,182638,NA,11327,11449,10387,2089,368,422,10042
ALASKA,2003,648,141,53,133437,115739,7721,8995,8004,30.9,53553,60376,7.8,33015,2.8,159291,186994,9930,11449,10456,1615,410,546,3287,10171
ALASKA,2004,658,138,133933,114917,7270,8761,7801,31.2,51736,53513,4.6,NA,34085,NA,166800,194401,11186,10456,NA,1751,427,567,3397,NA
ALASKA,2005,NA,NA,132970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182638,NA,11327,NA,NA,NA,NA,NA,NA,NA
ALASKA,2008,688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6,NA,NA,NA,NA,14178,2178,655,249,3152,NA
ALASKA,2009,698,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,43233,2.4,234661,258639,NA,NA,13708,2493,845,623,3245,NA
ALASKA,2010,710,102,54,129114,117585,8060,9316,8196,30,62918,62429,-0.7,43749,5.2,241846,266527,18478,18478,13776,2570,899,687,4393,16744
ALASKA,2011,723,143,54,127699,117995,8347,9345,8220,30,62425,62500,7.1,48114,3.6,269742,296190,18215,19713,14053,2669,864,670,3548,17032
ALASKA,2012,730,132,54,127937,118370,8414,10544,9618,26.4,65468,66919,1.7,49906,NA,285412,308886,19627,21213,NA,NA,NA,NA,NA,18192
ALASKA,2013,NA,NA,54,127599,118758,8489,8820,7898,26.4,65891,68063,NA,NA,NA,NA,NA,20801,22350,NA,NA,NA,NA,NA,19244
ARIZONA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56559,NA,27193,NA,NA,NA,NA,7941,NA,NA,NA,NA,5347
ARIZONA,2002,5441,1057,NA,986221,947262,60138,53618,45894,26.7,42905,54836,2.3,26680,28609,NA,166358,NA,7941,8192,3404,866,350,343,5474
ARIZONA,2003,5579,1083,628,1010094,974052,64029,54537,46358,27.3,44672,56559,2.5,27193,1.8,161325,169460,7900,8192,3076,604,222,321,1617,5585
ARIZONA,2004,5740,1097,964003,921126,54567,52817,45532,25.9,41843,53479,2.3,NA,28609,NA,170460,178395,7653,3076,NA,646,228,329,1648,NA
ARIZONA,2005,NA,NA,986221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166358,NA,7941,NA,NA,NA,NA,NA,NA,NA
ARIZONA,2008,6499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6,NA,NA,NA,NA,4218,1219,456,250,1343,NA
ARIZONA,2009,6594,1214,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,33957,0.6,199836,215111,NA,NA,4378,1330,491,541,1378,NA
ARIZONA,2010,6392,902,627,1071484,1029915,86966,63745,58305,23.6,47553,46752,2.4,33773,4.4,200955,210435,9597,9597,4338,1420,453,487,3796,6448
ARIZONA,2011,6483,1057,627,1072826,1047574,91637,65014,59715,23.6,48691,48691,2.5,35446,3.1,213944,222580,10034,10276,4094,1241,554,472,1391,6683
ARIZONA,2012,6538,1181,627,1069802,1058736,96043,66273,60986,23.6,49885,49885,0.2,36624,NA,223642,229033,10515,10625,NA,NA,NA,NA,NA,6949
ARIZONA,2013,NA,NA,627,1078033,1073302,100686,64512,59308,23.6,45335,45335,NA,NA,NA,NA,NA,10889,10937,NA,NA,NA,NA,NA,7143
ARKANSAS,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43950,NA,24226,NA,NA,NA,NA,9261,NA,NA,NA,NA,6005
ARKANSAS,2002,2706,494,NA,452057,399913,28144,36964,32732,19,40495,42412,3.1,23470,25724,NA,151160,NA,9261,10456,4248,1095,390,218,6202
ARKANSAS,2003,2728,496,252,453209,397264,28493,37678,33477,17.5,42768,43950,3,24226,2,147120,158823,9166,10456,3930,958,338,204,1768,8402
ARKANSAS,2004,2750,491,452036,407438,28238,36240,31976,19,39314,41186,3.1,NA,25724,NA,156647,173793,8677,3930,NA,1042,356,212,1832,NA
ARKANSAS,2005,NA,NA,452057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151160,NA,9261,NA,NA,NA,NA,NA,NA,NA
ARKANSAS,2008,2868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2,NA,NA,NA,NA,5037,1331,441,255,2258,NA
ARKANSAS,2009,2889,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,31969,2.2,202739,245216,NA,NA,5419,1473,434,258,2396,NA
ARKANSAS,2010,2916,394,245,459419,365075,30130,34795,30700,19,46500,49500,0.8,32373,6.2,202710,216113,11849,11849,5739,1532,459,266,3790,11999
ARKANSAS,2011,2938,494,256,468190,464712,28792,35727,31083,20.9,46314,49927,0.7,34032,6.8,213897,227312,10879,10960,6013,1758,484,283,2578,9440
ARKANSAS,2012,2950,517,255,471532,456350,29714,36099,31333,21.1,46631,49680,1,36423,NA,229486,243926,10583,10935,NA,NA,NA,NA,NA,9384
ARKANSAS,2013,NA,NA,255,474706,447148,30800,36345,31301,21.3,47319,50856,NA,NA,NA,NA,NA,10683,11341,NA,NA,NA,NA,NA,9523
CALIFORNIA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59825,NA,33389,NA,NA,NA,NA,10069,NA,NA,NA,NA,7584
CALIFORNIA,2002,35002,6907,NA,6322190,6095488,355314,338444,298106,28.5,57876,57876,1.3,32845,35172,NA,193859,NA,10069,10612,4773,1122,676,429,7942
CALIFORNIA,2003,35463,6876,1054,6309689,6068819,349191,342629,300223,28.4,59825,59825,2.5,33389,-0.1,189619,196603,10207,10612,4521,1016,599,409,2195,8486
CALIFORNIA,2004,35842,6962,6298769,6077861,348609,345450,305855,29.3,56444,56444,1.3,NA,35172,NA,200429,207557,9970,4521,NA,1099,624,425,2264,NA
CALIFORNIA,2005,NA,NA,6322190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193859,NA,10069,NA,NA,NA,NA,NA,NA,NA
CALIFORNIA,2008,36580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.1,NA,NA,NA,NA,5711,1424,863,261,1982,NA
CALIFORNIA,2009,36962,6682,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,41353,2.1,244474,251239,NA,NA,5647,1402,855,666,1887,NA
CALIFORNIA,2010,37254,5097,1042,6219649,6081640,394959,315366,263630,28,67871,68948,-0.6,41893,5.6,250745,257047,11285,11285,6031,1795,880,577,3676,9313
CALIFORNIA,2011,37692,6907,1042,6204065,6131479,402722,269998,242308,28,68531,68531,2.3,44666,6.2,270627,272301,10536,10660,5661,1590,949,569,1911,9053
CALIFORNIA,2012,38000,6699,1042,6184927,6217322,408180,289327,248699,28,69324,70087,1.9,47505,NA,290178,290445,11662,11601,NA,NA,NA,NA,NA,9060
CALIFORNIA,2013,NA,NA,1028,6236672,6212410,440245,333766,292505,27.3,71396,71396,NA,NA,NA,NA,NA,10636,10677,NA,NA,NA,NA,NA,10329
COLORADO,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46544,NA,34542,NA,NA,NA,NA,9407,NA,NA,NA,NA,8023
COLORADO,2002,4501,830,NA,766707,711044,44617,51800,45174,25.8,43949,46052,1.6,34228,36109,NA,223694,NA,9407,10048,3267,692,527,348,8337
COLORADO,2003,4548,825,178,780708,724029,46128,52667,45841,26.6,44439,46544,1.6,34542,-0.8,208925,225281,9318,10048,3287,627,453,332,2002,8861
COLORADO,2004,4602,840,757668,702661,43461,51047,44926,26.1,43319,45305,1.6,NA,36109,NA,219295,236463,9235,3287,NA,680,474,346,2070,NA
COLORADO,2005,NA,NA,766707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223694,NA,9407,NA,NA,NA,NA,NA,NA,NA
COLORADO,2008,4935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,NA,4143,830,573,276,1718,NA
COLORADO,2009,5025,863,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41317,2.3,251010,270660,NA,NA,4338,845,725,473,1808,NA
COLORADO,2010,5029,681,178,843315,782090,47314,56184,48478,24.8,49228,51546,-0.6,42107,5.9,255350,275340,10495,10495,4353,966,741,743,3463,9596
COLORADO,2011,5117,830,178,854234,792217,47459,55715,47927,24.8,49049,51258,1.7,44179,4.8,268028,289010,10217,11017,4322,1070,698,470,1805,10001
COLORADO,2012,5189,894,178,868619,805557,48109,57387,49240,24.8,49844,52147,-0.5,46315,NA,281353,303389,10393,11206,NA,NA,NA,NA,NA,10884
COLORADO,2013,NA,NA,178,876999,820462,48687,67383,56916,24.8,49615,51888,NA,NA,NA,NA,NA,10354,11068,NA,NA,NA,NA,NA,10723
CONNECTICUT,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62395,NA,42810,NA,NA,NA,NA,13995,NA,NA,NA,NA,11774
CONNECTICUT,2002,3459,649,NA,577398,547650,35430,51039,42547,26.3,57737,59431,3.6,42521,45506,NA,274120,NA,13995,14455,4764,1193,500,349,11874
CONNECTICUT,2003,3487,624,190,576772,554472,36530,51839,42837,26.1,59304,62395,-0.7,42810,-0.9,261120,275620,13896,14455,5070,1004,550,339,2270,12436
CONNECTICUT,2004,3499,626,576205,547400,34440,50152,43032,25.9,57337,59846,3.6,NA,45506,NA,276698,291259,13623,5070,NA,1091,579,354,2353,NA
CONNECTICUT,2005,NA,NA,577398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274120,NA,13995,NA,NA,NA,NA,NA,NA,NA
CONNECTICUT,2008,3503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.4,NA,NA,NA,NA,6076,1610,611,279,1739,NA
CONNECTICUT,2009,3518,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,53573,4.8,334252,337306,NA,NA,6044,1568,605,444,1845,NA
